Speaker,Spoken to,Dialogue
Dudley Dursley,Gang thug,"Oh, it's you."
Gang thug,Harry Potter,"What should we do with him, Big D?"
Harry Potter,Dudley Dursley,"Big D? Cool name, but to me, you'll always be Ikkle Duddicums."
Dudley Dursley,Harry Potter,Shut up!
Dudley Dursley,Harry Potter,"Ooo, tough guy. Not so tough in your bed, are you?"
Harry Potter,Arabella Figg,What?
Arabella Figg,Dudley Dursley,"You boys go home now, or I'll be calling your parents!"
Dudley Dursley,Harry Potter,"I heard you talking in your sleep, last night. Crying. ""No, don't kill Cedric, don't kill Cedric! Dad, help me, heeelp me! He's going to kill me! Boo-hoo!"""
Harry Potter,Dudley Dursley,"Shut up, Dudley. I'm warning you..."
Dudley Dursley,Harry Potter,Why should I?
Harry Potter,Dudley Dursley,Because if you don't I'll turn you into the idiot pig you are!
Dudley Dursley,Harry Potter,Don't point that thing at me!
Harry Potter,Dudley Dursley,"Not so brave now, are you Duddykins? Now tell your little friends to go away."
Dudley Dursley,Gang thug,G-go home!
Gang thug,Dudley Dursley,What?
Dudley Dursley,Gang thug,Get out of here!
Harry Potter,Dudley Dursley,Don't you ever speak about that again. You understand?
Dudley Dursley,Harry Potter,Don't point that thing at me!
Harry Potter,Dudley Dursley,"I said, DO YOU UNDERSTAND? !"
Dudley Dursley,Harry Potter,What's happening?
Harry Potter,Dudley Dursley,Quiet!
Harry Potter,Dudley Dursley,Dudley! Run!
Harry Potter,Dudley Dursley,Come on!
Harry Potter,Dudley Dursley,"Dudley, no!"
Voldemort,Dudley Dursley,Lumos!
Harry Potter,Voldemort,Expecto Patronum!'
Voldemort,Lily potter,"Bow to death, Harry..."
Lily potter,Harry Potter,Haaaaaaaarry!...
Harry Potter,Dementor,"""Expecto Patronum! '"
Vernon Dursley,Harry Potter,What the hell are those?
Harry Potter,Petunia Dursley,Dementors.
Petunia Dursley,Vernon Dursley,"What happened, Duddikins?"
Vernon Dursley,Harry Potter,What the hell is a dementoid?
Petunia Dursley,Harry Potter,They didn't--?
Harry Potter,Vernon Dursley,No.
Vernon Dursley,Harry Potter,I want some answers!
Harry Potter,Vernon Dursley,We were attacked.
Vernon Dursley,Harry Potter,By those...things?
Harry Potter,Vernon Dursley,"They're evil. If they get the chance, they'll suck your soul out through your mouth."
Petunia Dursley,Vernon Dursley,"They guard the wizard prizon, Azkaban"
Vernon Dursley,Harry Potter,"How do you know that? Fought 'em off, eh, Dud? Gave 'em the ol' one-two?"
Harry Potter,Vernon Dursley,You can't give a Dementor the 'ol one-two.'
Vernon Dursley,Harry Potter,Why is he all right then?
Harry Potter,Vernon Dursley,Because I used magic to save his life!
Harry Potter,Vernon Dursley,Lumos!
Vernon Dursley,Alastor Moody,Who are all you lot?
Alastor Moody,Remus Lupin,"Quiet, Dursley."
Remus Lupin,Harry Potter,"Harry, douse the light. We're exposed here."
Harry Potter,Remus Lupin,Nox
Harry Potter,Remus Lupin,What are you doing here?
Remus Lupin,Harry Potter,"We're your advanced guard, Harry. Dumbledore just sent us as soon as he heard about the attack. We're taking you to safety. We're just waiting for the all clear."
Harry Potter,Remus Lupin,How'd he know? It just happened!
Remus Lupin,Harry Potter,"You didn't think Dumbledore'd let you wander around on your own, did you? Harry, I don't believe you've met Nymphadora Tonks. Tonks, would you go get Harry's broom from the house?"
Remus Lupin,Harry Potter,"Harry, I don't believe you've met Nymphadora Tonks"
Remus Lupin,Nymphadora Tonks,"Tonks, would you do get Harry's broom from the house?"
Harry Potter,Alastor Moody,What's been going on? What's Lord Vol-
Alastor Moody,Harry Potter,"We're not talking about it here, it's too risky."
Alastor Moody,Nymphadora Tonks,Blast it.
Nymphadora Tonks,Alastor Moody,"Mad-eye, dear, you do realize that's disgusting?"
Alastor Moody,Nymphadora Tonks,I want 365 degree visibility on the return trip.
Harry Potter,Remus Lupin,How are we getting there?
Remus Lupin,Kingsley Shacklebolt,Brooms.
Kingsley Shacklebolt,Alastor Moody,There's the first signal.
Alastor Moody,Remus Lupin,"Right, let's go."
Remus Lupin,Harry Potter,"On your broom, Harry."
Alastor Moody,Nymphadora Tonks,Form up! Form up around Harry. Make it snappy!
Alastor Moody,Nymphadora Tonks,"We'll be flying in close quarters formation. Tonks will be right in front of you, keep close to her at all times. Don't stop, and whatever you do, don't break formation. If any of us are killed, the rest of you, keep flying. If that were to happen, the survivors, fly to the east. The rear guard is standing by. They will find you."
Nymphadora Tonks,Alastor Moody,"Stop being so cheerful, Mad-eye."
Alastor Moody,Harry Potter,We must be ready. This would be the perfect moment for Voldemort to strike Harry.
Harry Potter,Kingsley Shacklebolt,"Uh, is that very likely?"
Kingsley Shacklebolt,Remus Lupin,No one's going to die.
Remus Lupin,Alastor Moody,There's the second signal!
Alastor Moody,Everybody,"Mount your brooms, Everybody. Here we go!"
Alastor Moody,Everybody,"The third signal, Everybody. Let's go!"
Alastor Moody,Everybody,Stay in formation! 
Alastor Moody,Everybody,We need more height!
Alastor Moody,Everybody,Contacts to the south!
Kingsley Shacklebolt,Alastor Moody,"Mad-eye! You, Tonks, and Lupin take Harry! We'll slow them down!"
Remus Lupin,Alastor Moody,"There's the other one, Alastor!"
Harry Potter,Dementor,Expecto--!
Remus Lupin,Harry Potter,"Harry, leave it to us!"
Harry Potter,Remus Lupin,No!
Remus Lupin,Dementor,"""Expecto Patronum!'"
Remus Lupin,Alastor Moody,Get Harry to the safe house!
Alastor Moody,Harry Potter,"Come on, Potter! Keep moving!"
Harry Potter,Alastor Moody,But I can help!
Alastor Moody,Kingsley Shacklebolt,"Potter, getting yourself killed won't do a thing. Now move!"
Alastor Moody,Harry Potter,"We're not far, now!"
Alastor Moody,Harry Potter,Did you get rid of them?
Kingsley Shacklebolt,Alastor Moody,"They're gone, Alastor."
Nymphadora Tonks,Alastor Moody,We're there!
Alastor Moody,Remus Lupin,Prepare for descent! Form up around Harry!
Remus Lupin,Harry Potter,"Stay here, Harry."
Kingsley Shacklebolt,Everybody,Clear!
Alastor Moody,Harry Potter,"Right, Harry, this way. "
Alastor Moody,Harry Potter,"Here, read this."
Alastor Moody,Harry Potter,"Come on, inside. Hurry."
Remus Lupin,Harry Potter,"Get in, quick, Harry. Don't touch anything."
Walburga Black,Harry Potter,"Filth! Scum! Half-breeds, mutants, freaks, begone from this place! How dare you befoul the house of my fathers?!"
Sirius Black,Walburga Black,"Shut up, you miserable old hag! Quiet!"
Walburga Black,Harry Potter,"Blood traitor, abomination, shame of my flesh!"
Sirius Black,Walburga Black,"Yes, yes, do shut up!"
Harry Potter,Sirius Black,Was that your--?
Sirius Black,Harry Potter,"Mother, yes. Dear old mum."
Harry Potter,Sirius Black,But...why here?
Sirius Black,Harry Potter,"This house has been my family's for centuries. It's mine now. I'm the last of the Blacks. I offered it up as a headquarters for, well, and dumbledore accepted. It's about the most useful thing I've been ableto do for a long while"
Molly Weasley,Harry Potter,"Hello, Harry dear."
Harry Potter,Molly Weasley,Mrs. Weasley!
Molly Weasley,Sirius Black,"Sirius, the meeting is about to start!"
Sirius Black,Molly Weasley,Right.
Molly Weasley,Hermione Granger,"Harry, dear, go on upstairs-— quietly, if you please. They're all up there."
Hermione Granger,Harry Potter,Harry!
Ron Weasley,Hermione Granger,"Let him breathe, Hermione!"
Hermione Granger,Harry Potter,"Oh, Harry! We've missed you! Are you furious with us, I bet you are!"
Ron Weasley,Harry Potter,"Good to see you, mate."
Hermione Granger,Ron Weasley,"Come on, inside."
Hermione Granger,Harry Potter,"Sorry we haven't written, Harry, but Dumbledore made us promise not to."
Ron Weasley,Harry Potter,"We wanted to, mate, we really did, but he thought they would get intercepted. There is an awkward silence."
Harry Potter,Ron Weasley,Right.
Ron Weasley,Hermione Granger,He thought you would be safest there.
Harry Potter,Hermione Granger,"Yeah, real safe. Attacked by Dementors, that's safe, that is."
Hermione Granger,Harry Potter,He was so angry when he heard. It was...scary...
Harry Potter,Hermione Granger,"So, why's he keeping me in the dark?"
Harry Potter,Ron Weasley,Didn't you bother asking?
Ron Weasley,Harry Potter,"We've only seen him twice, and not for very long. He's really busy."
Harry Potter,Ron Weasley,So I get to spend the summer with the Dursleys while you two are here.
Ron Weasley,Harry Potter,"It's not that fun, mate. Mum won't let us anywhere near the meetings."
Harry Potter,Ron Weasley,You've still been here!
Harry Potter,Ron Weasley,What's been going on?
Ron Weasley,Hermione Granger,"We've already told you, we're not privyed to the meetings. But we do know a few things."
